user_id,country,device_type,age_group,signup_date
1,Canada,Mobile,35-44,2024-03-30
2,Germany,Mobile,55+,2024-06-03
3,UK,Mobile,25-34,2024-04-18
4,Germany,Mobile,25-34,2024-02-28
5,Germany,Mobile,25-34,2024-04-19
6,USA,Mobile,18-24,2024-04-15
7,UK,Desktop,45-54,2024-08-08
8,UK,Mobile,35-44,2024-09-19
9,UK,Mobile,18-24,2024-03-22
10,Germany,Desktop,45-54,2024-09-28
11,Canada,Mobile,35-44,2024-02-18
12,UK,Desktop,35-44,2024-02-01
13,Australia,Mobile,35-44,2024-03-29
14,Germany,Mobile,25-34,2024-01-19
15,USA,Desktop,25-34,2024-01-03
16,Canada,Mobile,25-34,2024-02-29
17,Australia,Desktop,35-44,2024-08-29
18,Australia,Mobile,35-44,2024-01-29
19,USA,Mobile,25-34,2024-03-15
20,Canada,Desktop,35-44,2024-03-10
21,Germany,Mobile,25-34,2024-03-23
22,India,Desktop,25-34,2024-12-22
23,Canada,Mobile,25-34,2024-06-21
24,USA,Mobile,45-54,2024-07-15
25,Australia,Mobile,35-44,2024-12-11
26,Germany,Desktop,18-24,2024-05-26
27,Canada,Mobile,25-34,2024-09-29
28,India,Mobile,18-24,2024-02-04
29,India,Desktop,45-54,2024-04-22
30,UK,Desktop,35-44,2024-07-24
31,UK,Mobile,25-34,2024-06-06
32,USA,Mobile,25-34,2024-09-09
33,Canada,Mobile,25-34,2024-05-01
34,Canada,Mobile,18-24,2024-02-17
35,Australia,Mobile,45-54,2024-07-03
36,Australia,Desktop,35-44,2024-09-29
37,Australia,Mobile,45-54,2024-04-10
38,UK,Desktop,25-34,2024-01-15
39,Canada,Desktop,45-54,2024-05-07
40,Canada,Mobile,18-24,2024-07-28
41,India,Mobile,55+,2024-04-21
42,UK,Mobile,55+,2024-09-26
43,Germany,Mobile,35-44,2024-05-21
44,UK,Desktop,35-44,2024-06-21
45,Germany,Mobile,45-54,2024-12-18
46,India,Mobile,35-44,2024-06-14
47,USA,Mobile,18-24,2024-04-28
48,Canada,Mobile,25-34,2024-07-21
49,India,Mobile,25-34,2024-01-11
50,Canada,Mobile,45-54,2024-09-05
51,Australia,Mobile,25-34,2024-10-30
52,USA,Mobile,45-54,2024-09-04
53,USA,Desktop,35-44,2024-06-02
54,India,Desktop,35-44,2024-11-18
55,USA,Mobile,18-24,2024-01-25
56,Germany,Mobile,25-34,2024-12-07
57,USA,Mobile,18-24,2024-08-08
58,Canada,Mobile,55+,2024-04-19
59,Canada,Mobile,18-24,2024-03-30
60,Canada,Mobile,45-54,2024-09-21
61,Canada,Mobile,45-54,2024-02-09
62,Germany,Mobile,18-24,2024-09-19
63,UK,Mobile,35-44,2024-06-06
64,Australia,Mobile,55+,2024-04-27
65,India,Desktop,18-24,2024-09-12
66,Canada,Mobile,35-44,2024-07-14
67,USA,Mobile,18-24,2024-11-09
68,Canada,Mobile,25-34,2024-11-06
69,USA,Desktop,45-54,2024-01-14
70,Australia,Desktop,25-34,2024-04-27
71,Australia,Desktop,25-34,2024-08-04
72,Australia,Mobile,55+,2024-07-23
73,USA,Mobile,35-44,2024-03-17
74,Canada,Desktop,45-54,2024-06-20
75,Australia,Mobile,25-34,2024-01-26
76,Germany,Mobile,45-54,2024-05-07
77,USA,Desktop,35-44,2024-05-21
78,USA,Mobile,18-24,2024-01-24
79,Canada,Mobile,25-34,2024-08-19
80,USA,Mobile,35-44,2024-06-25
81,USA,Mobile,45-54,2024-12-06
82,Australia,Mobile,35-44,2024-08-22
83,Canada,Desktop,18-24,2024-11-14
84,Australia,Desktop,35-44,2024-01-26
85,Australia,Mobile,45-54,2024-09-22
86,Canada,Desktop,25-34,2024-12-27
87,India,Mobile,25-34,2024-04-26
88,Australia,Mobile,55+,2024-02-27
89,Germany,Desktop,45-54,2024-09-26
90,Germany,Desktop,55+,2024-11-24
91,USA,Mobile,55+,2024-10-21
92,Germany,Desktop,18-24,2024-05-01
93,USA,Desktop,45-54,2024-06-07
94,India,Desktop,25-34,2024-06-26
95,Canada,Mobile,45-54,2024-05-23
96,Canada,Desktop,18-24,2024-11-23
97,Canada,Tablet,45-54,2024-11-02
98,Germany,Desktop,45-54,2024-03-29
99,India,Mobile,55+,2024-08-26
100,Germany,Mobile,45-54,2024-02-07
101,Germany,Mobile,55+,2024-12-26
102,India,Mobile,55+,2024-03-19
103,India,Tablet,35-44,2024-12-10
104,India,Mobile,18-24,2024-11-22
105,India,Mobile,55+,2024-12-11
106,Canada,Desktop,45-54,2024-09-08
107,UK,Mobile,55+,2024-11-23
108,UK,Mobile,55+,2024-05-28
109,India,Mobile,55+,2024-01-16
110,UK,Mobile,25-34,2024-11-18
111,UK,Mobile,25-34,2024-11-16
112,India,Tablet,25-34,2024-09-25
113,UK,Mobile,25-34,2024-04-27
114,Germany,Mobile,35-44,2024-07-10
115,USA,Mobile,55+,2024-11-12
116,USA,Mobile,35-44,2024-10-14
117,India,Mobile,45-54,2024-12-16
118,Canada,Mobile,18-24,2024-10-23
119,India,Mobile,35-44,2024-07-12
120,Canada,Desktop,25-34,2024-10-07
121,USA,Mobile,25-34,2024-10-27
122,India,Mobile,45-54,2024-09-06
123,Australia,Desktop,55+,2024-08-18
124,Germany,Mobile,18-24,2024-01-03
125,UK,Mobile,35-44,2024-06-22
126,Canada,Mobile,55+,2024-08-27
127,Australia,Mobile,55+,2024-04-13
128,UK,Mobile,35-44,2024-10-15
129,UK,Mobile,35-44,2024-08-31
130,India,Mobile,35-44,2024-10-14
131,UK,Mobile,35-44,2024-09-29
132,Germany,Mobile,25-34,2024-04-29
133,Australia,Mobile,55+,2024-12-03
134,UK,Desktop,55+,2024-09-15
135,India,Desktop,25-34,2024-03-10
136,Germany,Desktop,55+,2024-07-01
137,USA,Mobile,35-44,2024-09-03
138,Australia,Mobile,18-24,2024-04-27
139,UK,Mobile,55+,2024-01-31
140,India,Mobile,18-24,2024-05-28
141,USA,Mobile,18-24,2024-01-16
142,USA,Desktop,25-34,2024-09-29
143,Canada,Mobile,45-54,2024-12-17
144,Germany,Mobile,55+,2024-04-11
145,UK,Tablet,25-34,2024-03-12
146,India,Mobile,25-34,2024-07-11
147,Canada,Mobile,18-24,2024-11-17
148,Germany,Mobile,55+,2024-04-20
149,Canada,Mobile,25-34,2024-10-19
150,Australia,Mobile,35-44,2024-12-12
151,Germany,Mobile,25-34,2024-12-05
152,Germany,Mobile,35-44,2024-11-13
153,UK,Desktop,45-54,2024-10-03
154,Germany,Desktop,35-44,2024-04-15
155,Canada,Tablet,35-44,2024-02-06
156,Germany,Desktop,18-24,2024-10-17
157,UK,Mobile,25-34,2024-06-29
158,UK,Mobile,45-54,2024-05-22
159,Australia,Mobile,25-34,2024-04-23
160,Canada,Mobile,35-44,2024-08-25
161,USA,Desktop,35-44,2024-04-03
162,USA,Desktop,25-34,2024-09-16
163,Germany,Mobile,45-54,2024-04-16
164,Australia,Mobile,45-54,2024-08-31
165,India,Mobile,18-24,2024-11-30
166,Germany,Desktop,35-44,2024-01-23
167,Australia,Mobile,35-44,2024-12-26
168,Canada,Desktop,18-24,2024-09-27
169,Canada,Desktop,25-34,2024-05-19
170,Canada,Desktop,35-44,2024-03-22
171,Canada,Desktop,25-34,2024-12-09
172,Canada,Desktop,45-54,2024-06-04
173,Australia,Mobile,55+,2024-11-30
174,Australia,Mobile,18-24,2024-01-19
175,UK,Mobile,35-44,2024-03-09
176,USA,Mobile,18-24,2024-05-11
177,Canada,Tablet,45-54,2024-09-12
178,India,Mobile,45-54,2024-07-27
179,Australia,Desktop,45-54,2024-01-10
180,India,Mobile,45-54,2024-05-19
181,India,Mobile,55+,2024-05-14
182,India,Desktop,25-34,2024-09-11
183,UK,Mobile,25-34,2024-10-26
184,Australia,Mobile,55+,2024-09-14
185,India,Mobile,25-34,2024-04-03
