user_id,experiment_group,exposure_time
1,Control,2025-03-14
2,Test,2025-03-26
3,Control,2025-03-11
4,Control,2025-03-31
5,Control,2025-03-25
6,Control,2025-03-02
7,Test,2025-03-20
8,Test,2025-01-20
9,Test,2025-02-22
10,Control,2025-01-15
11,Test,2025-01-29
12,Test,2025-03-11
13,Control,2025-03-21
14,Control,2025-03-06
15,Test,2025-03-03
16,Test,2025-03-11
17,Test,2025-01-16
18,Test,2025-02-23
19,Control,2025-01-07
20,Control,2025-03-01
21,Control,2025-01-10
22,Control,2025-02-22
23,Test,2025-01-08
24,Test,2025-03-26
25,Control,2025-03-31
26,Test,2025-02-06
27,Control,2025-03-23
28,Control,2025-01-04
29,Control,2025-03-25
30,Control,2025-03-24
31,Control,2025-01-23
32,Control,2025-01-09
33,Control,2025-02-07
34,Control,2025-02-14
35,Test,2025-02-14
36,Control,2025-01-18
37,Test,2025-02-15
38,Test,2025-01-02
39,Test,2025-02-17
40,Test,2025-01-17
41,Test,2025-01-16
42,Control,2025-02-14
43,Test,2025-02-17
44,Control,2025-01-24
45,Control,2025-03-06
46,Control,2025-02-02
47,Control,2025-01-04
48,Control,2025-01-01
49,Test,2025-02-02
50,Control,2025-03-15
51,Test,2025-03-03
52,Control,2025-01-03
53,Test,2025-02-14
54,Test,2025-01-21
55,Test,2025-03-05
56,Control,2025-03-14
57,Test,2025-02-26
58,Control,2025-02-09
59,Test,2025-03-03
60,Test,2025-02-12
61,Control,2025-03-29
62,Control,2025-02-15
63,Control,2025-03-13
64,Test,2025-01-24
65,Test,2025-01-24
66,Control,2025-01-10
67,Control,2025-03-09
68,Control,2025-02-26
69,Control,2025-02-13
70,Test,2025-03-14
71,Test,2025-03-16
72,Test,2025-02-17
73,Test,2025-03-18
74,Test,2025-01-27
75,Test,2025-01-30
76,Test,2025-02-15
77,Test,2025-01-12
78,Test,2025-03-01
79,Test,2025-01-19
80,Control,2025-03-09
81,Test,2025-02-23
82,Test,2025-02-03
83,Control,2025-03-28
84,Test,2025-03-31
85,Control,2025-01-07
86,Test,2025-03-23
87,Test,2025-02-11
88,Control,2025-03-09
89,Test,2025-02-22
90,Test,2025-01-08
91,Test,2025-01-22
92,Control,2025-01-26
93,Control,2025-03-18
94,Control,2025-03-04
95,Control,2025-02-15
